weight,tweet,label
1,it is very cold out want it to be warmer ,-1
0.7698,dammmmmmm its pretty cold this morning   burr lol,-1
0.6146,why does halsey have to be so far away think my ears are ready to fall off cold,-1
0.9356,dammit stop being so cold so can work out ,-1
1,its too freakin cold,-1
1,i  freezing my tits off hate the cold,-1
1, its too cold to go out sad ,-1
0.9612,its hate minnesota,-1
0.8262,ok exactly what im thinking rt want to go out but dont want to deal with the cold weather smh,-1
0.9657, girl think the same shit too fucking cold out ,-1
1,hello its cold as b tch out wtf ,-1
0.9596,it is to dang cold to do anything out tonight stayinhometweet,-1
1,sitting outside because the hose just got moped like fuck its so hot out here ,-1
0.7466, haha damn man im fuckin hot out here waitin for the bus,-1
1,fuck snow  fuck ice  fuck winter  fuck cold weather ,-1
0.788,im gonna need for this weather to let up warm weather get here now ,-1
1,really wants to escape oklahoma sick of the blizzard ,-1
0.9242, dont like cold either bring on the warm weather ,-1
0.89,its bone chilling cold outside ,-1
0.8364,outside its been switching between snow and rain all day quite gloomy think ill have some hot stew for dinner ,-1
1,i fucking hate the rain ,-1
1,this is the weather equivalent of wet fart and we dont like it ,-1
0.6994,its now about num degrees outside  its num inside heater not strong enough az not made for cold weather ,-1
0.9637,rt dallas not only city dealing with uncommonly cold weather its freezing in phoenix if sb xlv was there  many complaints  too ,-1
1,wat the hell mother nature thunderstorms is for the summer bring us some snow sad ,-1
0.965,have mentioned that this weather sucks rain,-1
1,rt damn its cold as fuck outside cant wait till it get hot out,-1
0.964,rt rt im so not liking this cold rainy weather today,-1
0.8563,i hope snow follows behind all this damn rain ,-1
0.9663,my bichon is the only reason to be out in this cold and wet weather ugh come on spring,-1
0.7244, id complain about how its rainy cold in atl but then know you have shit ton of snow,-1
1,ahhh rain storm not good fell to ground because of the thunder and lightening ,-1
0.9589,hello my tweeties feelin great but hatin dis wet and cold weather but da day must go on goin to visit baby dis  ,-1
0.9662, snowy and cold want sunshine and beaches ,-1
1,sick and tired of being cold its so miserable outside,-1
1,holy shit its so hot out here ,-1
0.9182,sending some cyber hot apple cider your way im really missing miami right now to go from num to num degree outside is brutal ,-1
1,why cant ct be in the west were it is hot damn it is brick outside smh hate winter,-1
0.8851, hate when get out of school and its super hot outside damnitstrue ,-1
1,it is too hot outside ,-1
0.8515,snow sad sad sad ,-1
0.6159,omg this weather got me going crazy my boys are having more fun life of toddler,-1
0.5989,cold and rainy whole body was sore before even went some dumbass put all of his weight on my bad ,-1
0.7957,the weather is getting bad really fast,-1
1,hard to get up out of bed and workout on rainy day like this but you have to nodaysoff,-1
1,happy to leave but not ready to face milwaukee weather ,-1
0.8306,snow  please stop falling ,-1
1,ugh great another thunder storm,-1
0.5087,num degrees on the golf course im chilled all of sudden hear the ice cre man in the neighborhood ice cre mormon heroin ,-1
1, we wish its rainy and cold here sad ,-1
0.6099,this weather is sooo cool thanks boston wtfisspringalready,-1
1,we are wondering when all of this bad weather is going to end in this part of the country were bit waterlogged ,-1
1, glad you had great time yeah  the weather here sucks so depressing ,-1
0.4293,just another day in paradise rt dregoire current louisville weather flash flood warning  tornado watch  flash flood watch  flood warning,-1
1,mad tired  long day  wheres the good weather at ,-1
0.42,rt num and sunny to num and rainyy cute,-1
0.658,stuck in an all day board retreat on the num st warm sunny day of the year ,-1
0.3983,"it gets alil warm outside and people act all crazy
 el shaddai ",-1
0.6254, yall strnum up there that weather aint no joke,-1
0.6229,so my teeth are sensitive and ummm the weather is effin wit me ,-1
1,whoa twc guy just said num tornadoes in april so far most ever in april crazy weather ,-1
0.4297,so lets talk about the weather overcast and bit chilly on this good friday but saturday partly ,-1
0.5374, yuck know its spring  but sunshine for more than two hours might bre nice ,-1
0.6098,im not feeling todays nice weather  just wanna sleep ,-1
0.6146, trust us to get the thunder xxxxxx,-1
0.4255, actually its happening everywhere this weather is so unpredictable guys be safe,-1
0.4114, up here hope the snows anywhere else but here showing waterfront homes then listing appt ,-1
0.6124, blame the snow on you ,-1
0.3639, go to rainy day faggot ,-1
0.8203,looked like rain  then got muggy and now super windy please let tomorrow go over without hitch ,-1
0.7996,rt to all the ,-1
0.7897,that nice day of weather did not last long here comes the pittsburgh spring ,-1
0.8055, you need to tell the weather to stop being so crazy ,-1
1,fuck this depressing weather  the rain has ruined most of my vacation watch the week we go back to school be super sunny and warm o,-1
0.4069,this weather is making me sleepy ,-1
0.413, come brave the weather  we start little after num ,-1
0.6379,stoked for little hot power fusion later to offset the binge eating ive been doing to cope with the depressing mn weather ,-1
0.5833,you know its cold outside when you like   gurrl lemme hurry up get in da crib  my vagina is freezin  ,-1
0.4075,missouri wat is up with our weather ,-1
0.6122,still not convinced its gonna be num degrees today ,-1
1, the weather had better change before reach macclesfield,-1
1, lol smiley the weather isnt good where am,-1
1,its hot as fuck nw bt think its gonna cool off bit rt whats the weather gonna be like ,-1
1,day what  num or num of thunderstorms every freaking day ,-1
0.8052,its so cold in this house im scared to see what outside feels like burrrrr,-1
1, apparently most of the preemptions were severe weather reports rough night for some major markets ,-1
0.6006,jus woke up  rise grind fuck sunshine gotta get mines ,-1
0.6343,lucky its hats coats and boot weather up here lolrt yea and looks like skirt weather,-1
0.6799,fuckkkk thaaaa weak bitch weather of this place ,-1
0.5842, and dont wanna hear how good your weather is lol,-1
0.5958,its freezing in here ,-1
0.4243,lol right rt im too black for this shit rt its hot out here,-1
0.5842,im freezing ,-1
0.6017,nws tucson weather story red flag fire weather conditions from noon num  in se arizona ,-1
0.803, but work where theres no sunshine ,-1
0.7875,dear dave murray  wtf is up wit the weather gosh ,-1
1,dear thunder storms ahhh we meet again another sleepless night dont like you ,-1
0.6131,rt its sunny everywhere in uk and ders flood in sheffield  how ,-1
1,rt too hot outside,-1
0.5969,topics covered by table of farmers at this restaurant wet weather bad for farming  why the pacers suck  how cute is  sunburns,-1
0.8273,im really not loving this scary storm  especially from the num th floor of this hotel ,-1
1,rt this weather sucks like my young jawn ,-1
0.589,its hot outside and have sweats on ugh,-1
0.6077, the weather here is eh,-1
1,really missing the weather its just hot here ,-1
